current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
IT security,ProTechmanize,2.3,"Sentinel one, IBM QRadar, ServiceNow, Sentinel One, Microsoft Defender",BCA,ISBM University,,Bengaluru,Karnataka,India,security_analyst
Security Analyst,Terralogic,2.8,"IBM Security QRadar SIEM , SOC, Threat Detection, Security Operations Center, Security Operations, Cyber-security, Vulnerability Assessment, Problem Solving, Organization Skills, Internet Protocol Suite (TCP/IP), Transmission Control Protocol (TCP), OSI Model, Information Security, Cybersecurity, Security Information and Event Management (SIEM), Network Security, Networking, Presentations, Leadership, Public Speaking, Interpersonal Skills, Python (Programming Language), C (Programming Language), HTML, Cascading Style Sheets (CSS), Tally ERP",Bachelor of Technology - BTech,Jain (Deemed-to-be University),"Microsoft Certified: Azure Fundamentals, Networking Basics, Python , Web development ",Bengaluru,Karnataka,India,security_analyst
Security Analyst,LYTCONE LIMITED,3.4,"Information Security, Network Security, Cybersecurity, Security Operations, Security Information and Event Management (SIEM), Internet Security, Security Operations Center, Security Assurance, Project Direction, Project Oversight",,Kle Dr ms sheshagiri college of engineering and technology,Mastercard - Cybersecurity Job Simulation,Bengaluru,Karnataka,India,security_analyst
Network Security Analyst,Coincent.ai,2.8,"Security Assurance, Security Information and Event Management (SIEM), Security Operations Center, Risk Assessment, Risk Analysis, Risk Analytics, Operational Risk Management, Credit Risk Management, E-Commerce, Front-End Design, Blogging, Security Testing, Security Patch Management, Critical Thinking, Network Monitoring Tools, Risk Management, Threat Analysis, Ethical Hacking, IT Risk Management, Software Development, Code Review, Software Requirements, Development Tools, Rust (Programming Language), Problem Solving, C#, SQL, C (Programming Language), Programming Languages, Active Listening, Information Technology, Object-Oriented Programming (OOP), Communication, Web Content, Responsive Web Design, HTML, Web Development, Programming, Computer Science, Full-Stack Development, kandi, Resume builder, Cascading Style Sheets (CSS), Bootstrap, JavaScript, PHP, Web Design, AngularJS, Web Pages, Project Management, Microsoft SQL Server, Python (Programming Language), AIML, Engineering",Bachelor of Engineering - BE,Sai Vidya Institute of Technology," Website Using Wordpress : Free Hosting & Sub-domain, 'Basics of HTML/CSS for Beginners' Online Bootcamp , 'Build your own Movie Recommendation System using Pandas' Bootcamp, Empowering Conversations with ChatGPT: A Hands-On Bootcamp, https://www.linkedin.com/profile/add?, https://www.linkedin.com/profile/add?",Bengaluru,Karnataka,India,security_analyst
Security Analyst,Tech Mahindra,5.2,"Cyber, Cloud Computing, Cloud Storage, SOC, Vulnerability Assessment and Penetration Testing (VAPT), Penetration Testing, EDR, SIEM, Incident Response, Cyber Threat Intelligence (CTI), Ethical Hacking, Web Application Security, Information Security, Manual penetesting tools - Burpsuite , Postman , kalilinux, Static code analysis, Static Application Security Testing, Dynamic application security testing, Networking, Cybersecurity, Python (Programming Language), HTML5, Cascading Style Sheets (CSS), Microsoft Azure, GitHub",Bachelor of Engineering - BE,"Kalpataru Institute of Technology, TIPTUR","Burp Suite for Beginners: Intro to Penetration Testing, Foundations of Cybersecurity, Introduction to Bash Shell Scripting, OWASP Top 10 - Welcome and Risks 1-5, Microsoft Certified: Azure Fundamentals, Certified Ethical Hacker (CEH), Python certification ",Bengaluru,Karnataka,India,security_analyst
Security Analyst,UST,4.4,"SOAR, Iboss, Crowdstrike Falcon, LogRhythm, Redcanary, Simpliefy, Jira, ServiceNow, Azure Sentinel, Cyberreason, Arbor, Cisco IPS, Engineering, English, Communication, Soft Skills, Training, Framework, Networking, Security Information and Event Management (SIEM), RSA Security, Transmission Control Protocol (TCP), RSA netwitness, User Datagram Protocol (UDP), Phishing, Domain Name System (DNS), OWASP, IBM QRadar, McAfee, Cybersecurity, Malware Analysis, CIA, AAA, Networking Devices, Network Security Devices, OSI Model, Antivirus, Incident Response, Dynamic Host Configuration Protocol (DHCP)",Bachelor of computer application,"Seshadripuram First Grade College (S.F.G.C), Bengaluru",,Bengaluru,Karnataka,India,security_analyst
Security Analyst,Big perl,4.2,"Security Monitoring, Security Operations Center",,,,Bengaluru,Karnataka,India,security_analyst
Cyber Security Analyst,Tata Consultancy Services,6.2,"Phishing, sentinal, securonix , Security information and Event Management ( Sumo Logic and Google Chronicle) , Cybersecurity, Networking, EDR (Crowdstrike and Defender) , Security information and Event Management ( Sumo Logic and Chronicle) ",Bachelor of Technology - BTech,REVA University,,Bengaluru,Karnataka,India,security_analyst
Security Analyst,Deep Armor,2.2,"Security triaging, FDA , Vulnerability Assessment, Penetration Testing, DevSecOps, Cybersecurity, Machine Learning, Burp Suite, HTML, Deep Learning, SQL, Python (Programming Language)",Bachelor of Engineering - BE,East West Institute Of Technology,,Bengaluru,Karnataka,India,security_analyst
Cyber Security Analyst,EY,3.8,"Communication, Service-Level Agreements (SLA), Python (Programming Language), SQL, Linux, Cybersecurity, Incident Response, Vulnerability Assessment, Vulnerability Management, Threat Analysis, Malware Analysis, Splunk Enterprise Security, Endpoint Security, EDR, DLP, SOAR",Bachelor of Engineering - BE,"KLE Institute of Technology, HUBLI",,Bengaluru,Karnataka,India,security_analyst
