current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
ML Engineer,Adobe,11.0,"Matlab, Electronics, C, C++, Electrical Engineering, English, Java, Programming, Simulink, Engineering, Microcontrollers, Labview, Simulations, Microsoft Word, PowerPoint, Pspice, Signal Processing, VHDL, Algorithms",Bachelor of Engineering (BE),Anna University,,Bengaluru,Karnataka,India,ml_engineer
Machine Learning Engineer,Sarvam,7.0,"Artificial Intelligence (AI), Machine Learning, Deep Learning, Natural Language Processing (NLP), Large Language Models (LLM), Text-to-Speech, Speech-to-Text, Artificial Intellig, Dalle, Data Analysis, Databases, Data Warehousing, Data Mining, Big Data, Data, Statistical Data Analysis, Data Modeling, Adobe Photoshop, Singer, Python, Guitar, Violin, Python (Programming Language)",BSc - Bachelor of Science,"St. Stephen's College, Delhi","4-Week Virtual Internship Program on Generative AI, Create Realtime Images through Voice using Generative AI Models, Blockchain Basics, Bachelor of Science in Mathematics (Honours Course), Complete Python Developer, Adobe Photoshop CC – Advanced Training Course, Indian School Certificate, Grade 8 Violin",Bengaluru,Karnataka,India,ml_engineer
Python Software Developer,Wipzent,3.1,"Artificial Intelligence (AI), Django, Pandas (Software), Flask, DSA, JavaScript, Java, Scientist of data analytics , Machine Learning, SQL, Python (Programming Language)",Bsc in data science ,Techno India University,,Bengaluru,Karnataka,India,ml_engineer
Machine Learning Engineer,Smart Data Solutions,9.2,"Semantic Search, Model Selection, Decision-Making, Documentation, Version Control, Exploratory Data Analysis, Scikit-Learn, Classification, Machine Tools, Unstructured Data, Programming, Unsupervised Learning, Supervised Learning, Statistical Data Analysis, Speech Analytics, Natural Language Processing (NLP), Problem Solving, Machine Learning, Python, SQL, Tableau, Data Analysis, Microsoft Excel, Microsoft Word, Microsoft Office, Unix, Oracle Database, Linux, Google Analytics, Team Leadership, Team Management, Public Speaking, Alteryx, NumPy, Data Analytics, Predictive Analytics, A/B Testing, Pandas",Predictive Analytics for Business ,Udacity,"SQL (Basic) Certificate, Databases for Developers: Next Level, Amelia V3 Certified Professional (ACP), Google Analytics Individual Qualification ",Chennai,Tamil Nadu,India,ml_engineer
Director - Applied AI,Krutrim,15.6,"Coaching, Responsible AI, Analytical Skills, Team Management, Technical Leadership, Large Language Models (LLM), Applied Sciences, Signal Processing, Matlab, Audio Processing, Acoustics, C, Algorithms, C++, Digital Signal Processing, Python, LaTeX, Machine Learning, Music Information Retrieval, Speech Recognition",Doctor of Philosophy (Ph.D.),Tampere University,"Neural Networks for Machine Learning, Machine Learning",Bengaluru,Karnataka,India,ml_engineer
Machine Learning Engineer 2,Rakuten India,6.5,"Large Language Models (LLM), Apache Kafka, ML, Google Cloud Platform (GCP), SHAP, EDA, Google BigQuery, Fine Tuning, BERT (Language Model), BART, XGBoost, Natural Language Processing (NLP), Roberta, Hidden Markov Models, FastAPI, Kubernetes, docker, Classification, Random Forest, Python (Programming Language), Machine Learning, Data Science, Data Analysis, Data Visualization, Matlab, C++, SQL, Logistic Regression, Regression Analysis, Deep Learning, Predictive Analytics, Analytical Skills, Artificial Intelligence (AI), Neural Networks, Machine Learning Algorithms, Decision Trees, Support Vector Machine (SVM), k-means clustering, K-Nearest Neighbors (KNN), Recommender Systems, MATLAB, Microsoft Excel",Bachelor of Technology - BTech,National Institute of Technology Jamshedpur,"SQL (Basic), SQL (Intermediate), Applied Data Science Capstone, Applied Data Science Specialization, Excel Skills for Business: Essentials, Machine Learning with Python, Neural Networks and Deep Learning, data science training program, Data Analysis with Python, Data Visualization with Python, Python for Data Science and AI",Bengaluru,Karnataka,India,ml_engineer
Senior Machine Learning Engineer,Red Hat,11.1,"Computer Vision, Machine Learning, embedded deep learning, Software Development, Programming, Software Engineering, Artificial Intelligence (AI), Deep Learning, C++, C, Eclipse, Embedded Systems, Linux, Embedded Software, Unix, Git, Jenkins, Python (Programming Language), TensorFlow, Caffe, Keras, PyTorch, IAR Embedded Workbench, Keil, onnx, C (Programming Language)",Master of Technology - MTech,Indian Institute of Science (IISc),"Introduction to Machine learning, Diploma in Asp.Net",Bengaluru,Karnataka,India,ml_engineer
Machine Learning Engineer,Giggso,2.3,"Marketing, Front-End Development, Java Database Connectivity (JDBC), Data Structures, Analytics, Exploratory Data Analysis, Communication, Data Analytics, Data Visualization, Model Training, Computer Vision, Machine Learning, Predictive Modeling, Deep Learning, Adobe Photoshop, Data Analysis, Analytical Skills, Data Science, Python (Programming Language)",Bachelor of Technology - BTech,PSNA College of Engineering and Technology,"Python , Google data analytics, Python, Microsoft Certified: Azure AI Engineer Associate, Java full stack developer",Coimbatore,Tamil Nadu,India,ml_engineer
Machine Learning Engineer,Apra Labs.,7.9,"MCP, Agentic AI, Retrieval-Augmented Generation (RAG), Computer Vision, Cloud, SaaS Development, Full-Stack Development, Natural Language Processing (NLP), Public Speaking",Bachelor of Technology,"International Institute of Information Technology,naya raipur",,Bengaluru,Karnataka,India,ml_engineer
,,,"C (Programming Language), Python (Programming Language)",Bachelor of Technology - BTech,Presidency University Bangalore,Imarticus certificate of completion ,Bengaluru,Karnataka,India,ml_engineer
