current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Product Design and Analytics Intern,GullyGroup,0.5,"MERN Stack, Full-Stack Development, Data Structures and Algorithms , Java, Flask, Machine Learning, Artificial Intelligence (AI), MySQL, User Interface Design",Bachelor of Engineering - BE,"Sri Krishna Institute Of Technology, Bangalore",,Bengaluru,Karnataka,India,fullstackFinal
Junior Software Engineer,Settlin - Linking Spaces Technologies Pvt. Ltd.,0.4,"Web Applications, Redux.js, Object-Oriented Programming (OOP), Software Development, GitHub, MongoDB, Databases, Representational State Transfer (REST), Node.js, SQL, NoSQL, Front-End Development, HTML, Cascading Style Sheets (CSS), JavaScript, React.js, Relevance, Professional Skills, Growth Initiatives, Critical Thinking, Debugging, Server Side, Tailwind CSS, MERN Stack, MySQL, Redis, PostgreSQL, Communication, Written Communication, Postman API, Responsive Web Design, Git, Bootstrap (Framework)",,,,Bengaluru,Karnataka,India,fullstackFinal
Project Associate,Indian Institute of Science (IISc),3.2,"AJAX, PL/SQL, Python (Programming Language), Django, Python flask, Dictionaries, Scripting, Distributed Systems, GitHub, Dart, Flutter, Application Programming Interfaces (API), Web Development, HTML, Linux, Stack, Web Application Development, Application Development, Web Design, Skill Development, Full-Stack Development, Validation Protocol, Knowledge Acquisition, Software Design, Forms, Documentation, JSON, Algorithms, FastAPI, Design Patterns, Data Structures, Communication, Data Science, Microservices, Written Communication, REST APIs, RDBMS, Programming Concepts, Problem Solving, Django REST Framework, Application Deployment, Relational Databases, Flask, Object-Oriented Programming (OOP), Front-End Design, Object-Relational Mapping (ORM), Software Development Methodologies, Software Development, HTML5, Front-End Development, Computer Science, Cascading Style Sheets (CSS), Databases, Debugging, Programming Languages, User Requirements, Server Side, Data Storage, Back-End Web Development",Master of Technology - MTech,New Horizon College of Engineering,,Bengaluru,Karnataka,India,fullstackFinal
,,,"MongoDB, Software Development, Lead Generation, Data Engineering, Operating Systems, C++, Object-Oriented Programming (OOP), SQL, Machine Learning, Java, Python (Programming Language), Design, Communication, Project Management, Microsoft Excel, Education, English, Management, C (Programming Language), Artificial Intelligence (AI), Engineering, Generative AI Tools, Generative AI",Science,"East Point College of Engineering & Technology, Bangalore",What Is Generative AI?,Bengaluru,Karnataka,India,fullstackFinal
Data Specialist,Tata iQ,0.2,"IT Integration, Electrical Engineering, Deep Learning, Smart Home Technology, Information Systems Project Management, Data Engineering, Embedded Systems, Embedded Engineers, English Translation, Data AI, ESP32 Microcontrollers, Kannada, Telugu, Tailwind CSS, Regulatory Compliance, Computer Literacy, Data Science, Programming Concepts, Arduino, Responsible AI, Real Time System Design, Data Analytics, Generative AI, C (Programming Language), Communication, Analytical Skills, English, Engineering, Project Management, Engineering Management, Foreign Languages, Data Management",Bachelor of Engineering - BE,Acharya ,"AWS - Solutions Architecture Job Simulation, Accenture Nordics - Software Engineering Job Simulation, Accenture Nordics - Software Engineering Job Simulation, Certificate of Excellence in Daily Quiz [Date: 16-07-2025] of Engineering: July Series, Project Management Foundations, Tata - GenAI Powered Data Analytics Job Simulation",Bengaluru,Karnataka,India,fullstackFinal
Software Engineer,VedMinds Inc,0.6,"Data Science, Data Visualization, Credit Card Transaction Processing, Analytics, Communication, Web Engineering, Back-End Web Development, Front-End Development, Full-Stack Development, JavaScript, Cascading Style Sheets (CSS), SQL, C++, Web Development, Machine Learning, Object-Oriented Programming (OOP), Python (Programming Language), Artificial Intelligence (AI), HTML, Data Analytics",Bachelor of computer application,Kle Society's  S Nijalingappa College,"Level 1: BigQuery ML Cloud Architecture and Devops Skills, Level 2: Apps Scripts and Networks, Level 3: GenAI, Qwiklabs Trivia August 2023, Level 1: App Dev and Infrastructure, Level 2: Data Deep Drive, Qwiklabs Trivia July 2023, Data analysis with Python and SQL, Front End Development HTML, Google data analytics, Python workshop",Bengaluru,Karnataka,India,fullstackFinal
Senior Software Engineer,Siemens,7.8,"AWS Lambda, Microservices, Behavior-Driven Development (BDD), Agile Software Development, NestJS, Webrtc, SQL, REST APIs, Python (Programming Language), React.js, Redis, Software Development, Software Architecture, Electron.js, Angular, Mean Stack, angular, Back-End Web Development, Front-end Development, Web Development, Node.js, Amazon Web Services (AWS), Cascading Style Sheets (CSS), HTML5, Scss, JavaScript, MongoDB, Git, RxJS, Express.js, TypeScript, Electron, PostgreSQL, Docker, Kubernetes",Bachelor of Technology (BTech),Rajasthan Technical University,"Behavior-Driven Development, Advanced Design Patterns: Design Principles, Agile Software Development: Clean Coding Practices, Learning Jira Software, Programming Using Python, Angular Essential Training, Learning NPM the Node Package Manager, Node.js & Express Essential Training  , MongoDB Essential Training",Bengaluru,Karnataka,India,fullstackFinal
Market Research Executive,siliconindia,2.2,"Object-Oriented Programming (OOP), C (Programming Language), HTML, Java, Core Java, SQL, html,css, javascript , Training, Engineering",Bachelor of Technology - BTech,"VEMU Institute of Technology, Chittoor",,Bengaluru,Karnataka,India,fullstackFinal
Software Engineer,Diligent,2.9,"Nodejs, Express.js, React.js, Mean Stack, Front-End Development, Node.js, JavaScript, TypeScript, MongoDB, NoSQL, Back-End Web Development, AngularJS, Web Development",Bachelor of Engineering - BE,Sapthagiri college of Engineering,,Bengaluru,Karnataka,India,fullstackFinal
Software Engineering Specialist,Societe Generale,4.7,"Spring MVC, Relational Databases, AngularJS, Spring Batch, Spring data JPA, Spring Security, Thymeleaf, Project Lombok, My SQL, Java, Jenkins, Git, Datadog, postman, MongoDB, GitHub, Pivotal Cloud Foundry (PCF), Core Java, C++, HTML, Cascading Style Sheets (CSS), Data Structures, Algorithms, Database Management System (DBMS), MySQL, C (Programming Language), JavaScript, Microservices, Spring Boot, REST APIs, SQL, Agile Software Development, Spring Framework",Bachelor of Engineering - BE,Sir M Visvesvaraya Institute Of Technology,"Java, Creating Your First Spring Boot Microservice, Python Quick Start, Spring Code Challenges, Calling REST APIs with Java, Agile Software Development, SQL Essential Training, Java tutorial course , html fundamental course , JavaScript tutorial course",Bengaluru,Karnataka,India,fullstackFinal
