current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Associate,BlackRock,8.2,"Snowflake, Data Build Tool (DBT), C (Programming Language), SQL, SQL Server Integration Services (SSIS), SQL Server Reporting Services (SSRS), Microsoft Power BI, Microsoft SQL Server, Transact-SQL (T-SQL), ASP.NET, Business Intelligence (BI), Ssis, Ssrs, Powerbi",Bachelor of Engineering,"SJB College of Education ,BGS Health Education City, No.67, Uttarahalli Road, Kengeri, Bangalore -60","Microsoft Certified: Azure Data Fundamentals, dbt Fundamentals",Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Deloitte,,"Business Intelligence Projects, Business Intelligence Tools, Data Analysis, Analytical Skills, Tableau, Microsoft Power BI",,,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Schneider Electric,3.5,"One bi, SQL Server Integration Services (SSIS), SQL, Microsoft Excel, Python (Programming Language), SAP ERP, Business Intelligence (BI), Data Management, Extract, Transform, Load (ETL), Engineering, Project Management, English, Communication",Bachelor of Engineering - BE,Mahendra Institutions,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Sr BI Analyst,USEReady,12.8,"Tableau, Microsoft SQL Server, MicroStrategy Reporting, SSIS, Data Analysis, PL/SQL, Business Analysis, Microsoft Excel, Relational Databases, Dimensional Modeling",Bachelor of Engineering (B.E.),University of Pune,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Wipro,,"Business Intelligence Projects, Business Intelligence Tools",,,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Power BI Developer,CGI,6.3,"Pagination, Microsoft SQL Server, Performance Optimization, Data Warehousing, migrating report, power pivot, SQL Server Management Studio, Data Analytics, Visualization, Microsoft Power BI, SQL, Extract, Transform, Load (ETL), Data Visualization, Data Analysis, Microsoft Power Query, Business Intelligence (BI), DAX, Data Modeling, Row level security ",Bachelor of Technology - BTech,Jawaharlal Nehru Technological University,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Business Intelligence Developer,Intel Corporation,9.1,"Data Modeling, Data Mining, DAX, Microsoft Business Intelligence (MSBI), Azure DevOps Services, Databases, IBM Db2, Business Intelligence (BI), internal tool, SAP, Data Migration, Alteryx, SQL Server Analysis Services (SSAS), SQL, Teradata, SQL Server Integration Services (SSIS), Data Analysis, Microsoft Excel, Microsoft SQL Server, Microsoft Power BI",Bachelor of Technology - BTech,"Biju Patnaik University of Technology, Odisha",,Bengaluru,Karnataka,India,businees_intelligence_developerss
Senior Data Analyst L3,PwC India,7.3,"Debugging, Quality Assurance, Microsoft Business Intelligence (MSBI), Vendor Relations, Presentations, Planning & Scheduling, Timelines, Requirements Gathering, Key Performance Indicators, Design Specifications, Documentation, User Experience (UX), Functional Requirements, Business Requirements, SQL Server Integration Services (SSIS), DEVELOPED DYNAMIC POWER BI DASHBOARD · TRANSFORMATION ON POWER QUERY EDITOR AND MYSQL, Interpersonal Skills, Data Warehousing, Data Analytics, Communication, Business Intelligence (BI), Analytics, Microsoft SQL Server, Microsoft Power BI, Data Analysis, Data Modeling, Visulization, Analytical Skills, Problem Solving, Team Leadership",,,,Bengaluru,Karnataka,India,businees_intelligence_developerss
Tableau developer ,Shiksha Infotech Pvt. Ltd.,3.8,"User Acceptance Testing, Data Integrity, Key Performance Indicators, Extract, Transform, Load (ETL), Skilled Multi-tasker, Visualization, Data Models, Microsoft Excel, MIS Reporting, Functional Specifications, Reporting Requirements, Integration Testing, Technical Training, Technical Architecture, Level of Detail (LOD), Graphs, User Requirements, Dashboard Building, Calculations, Customer Requirements, Business Metrics, Databases, Data Warehousing, Data Management, Business Requirements, Statistics, Data Modeling, Performance Tuning, Data Validation, Dashboards, Teamwork, Data Collection, Business Analysis, Data Engineering, Communication, Business Analytics, Analytical Skills, Data Analysis, Microsoft SQL Server, Tableau, Data Analytics, Analytics, Data Visualization, SQL, Business Intelligence (BI)",Master of Business Administration - MBA,Jawaharlal Nehru Technological University Kakinada (JNTUK)," Advanced Visualization with Tableau, Mastering Advanced Data and Analytics Features in Tableau",Bengaluru,Karnataka,India,businees_intelligence_developerss
Software Engineer,Fastenal India,4.3,"Microsoft SQL Server, Microsoft Fabric, PL/SQL, Azure SQL, Business Intelligence (BI), Dashboards, Azure Databricks, PySpark, Azure Data Factory, SQL, Tableau, SQL Server Reporting Services (SSRS), Programmable Logic Controller (PLC), Electronic Circuit Design, PLC Ladder Logic, PLC Programming, Omron, Transact-SQL (T-SQL), SQL Server Analysis Services (SSAS), DAX, Microsoft Power BI, Microsoft Azure, Data Science, Data Structures, Machine Learning, Python (Programming Language), Business Analytics, Database Management System (DBMS)",Master of Science - MS,Deakin University,"Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Fundamentals, Data Science for Business Innovation, Data Analytics with python, IoT - Domain Specialist, DataBase Management Systems, Python for Data Science, Arduino Master Class",Bengaluru,Karnataka,India,businees_intelligence_developerss
