current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Data Analyst,NewCold,0.8,"Machine Learning, Analytical Skills, Presentation Skills, Communication, Statistics, Presentations, Data Visualization, Data Science, Data Analytics, HTML, Cascading Style Sheets (CSS), JavaScript, Web Development, Web Hosting, Microsoft Office, Debugging, SQL, Data Analysis, Databases, Microsoft Excel, Microsoft Power BI, Python (Programming Language), C++, C (Programming Language), Java, Computer Networking",BCA,St. Claret College - India,,Bengaluru,Karnataka,India,data_analysts
Data Science Intern,ExcelR,0.7,"Power BI, Artificial Intelligence (AI), Generative AI, Computer Ethics, Data Science, Machine Learning, Data Analysis, Exploratory Data Analysis, Data Cleaning, Missing Data, Data Mining, Deployment , Model Building, C training , Amazon Web Services (AWS), SQL, Python (Programming Language), Database Management System (DBMS), C (Programming Language), C++, Databases, Microsoft PowerPoint, Data, LaTeX, Bootstrap (Framework), Soft Skills, Computer Hardware, Presentation Skills, Teamwork, Leadership Development, Team Leadership, Leadership, Organizational Development, Respect, Project Management, Creativity and Innovation, Communication, Employee Loyalty, Customer Satisfaction, Customer Relationship Management (CRM), Adaptability , Film Direction, Presentations, Strategy, Ideas Development, Problem Solving, Discipline , Research Skills, Engineering, English, Marketing, Training, Housekeeping",Data Science ,ExcelR,"Python Essentials 1, Training on Data Science , Career Edge - Young Professional , Career Essentials in Generative AI by
Microsoft and LinkedIn, Python for Data Science , Data Science, C Training",Bengaluru,Karnataka,India,data_analysts
Data Analyst,UptoSkills,0.2,,,,,Chennai,Tamil Nadu,India,data_analysts
Data Analyst,Accenture,10.3,"Data Visualization, Reporting, Analytical Skills, Data Modeling, SQL, Basics of PowerBi, Basics of BI, SAP Analytics Cloud, Communication, English, Training, Mentoring, Leadership",Bachelor of Technology - BTech,APJ Abdul Kalam Technological University,,Kannur,Kerala,India,data_analysts
Senior Data Analyst,Nineleaps,5.1,"Logical Approach, Google Ads, Microsoft Excel, Data Visualization, Database queries, Business Metrics, Microsoft Power BI, Tableau, Management, Teamwork, Problem Solving, Team Leadership, Business Analysis, Data Analytics, Project Management, Communication, Google Data Studio, Microsoft Office, SQL, Python (Programming Language)",Bachelor of Technology - BTech,Vellore Institute of Technology,"Introduction to Data Studio, Getting started with data analytics on AWS, Tableau Essential Training, Introduction to Data Analysis using Excel, SQL for Data Science, Certified SolidWorks Associate",Bengaluru,Karnataka,India,data_analysts
Machine Learning Intern,Prinston Smart Engineers,1.9,"Engineering, Java, aws , Amazon Web Services (AWS), Cloud Computing, Social Media, Research Skills, Git, GitHub, GitHub Copilot, Statistical Data Analysis, Artificial Intelligence (AI), Web Development, Generative AI, Ui ux, Organization Skills, Communication, Analytical Skills, Problem Solving, Machine Learning, Data Analysis, Mathematics",Bachelor of Engineering - BE,JSS Academy Of Technical Education Karnataka,"Deloitte Australia - Data Analytics Job Simulation, Foundations: Data, Data, Everywhere, Image Segmentation with Mean Shift Clustering , Ace, Cloud computing and aws services fundamentals, JAVA training complete course for beginners, AWS cloud essential for business leaders,  Introduction to Natural Language Processing, Hackathon , contribution, Time management , Create your first python project, Cybersecurity automation with python, Getting started with artificial intelligence , Introduction to artificial intelligence , SQL basics , Sap inside track, Building your own database agent, Devtown, Microsoft , Microsoft learn, Mongo db, Google bard, UI/UX for beginners , Attention mechanism, Introduction to Image Generation, Introduction to large language models, Introduction to responsive ai, Intoduction to Generative Ai, Introduction to web organizations ",Bengaluru,Karnataka,India,data_analysts
Data Analyst,Accenture,7.2,"Microsoft Power BI, Data Analysis, SQL, Dashboards, Reporting & Analysis",Bachelor of Business Administration - BBA,Mangalore University,,Bengaluru,Karnataka,India,data_analysts
Data Analyst,Flipkart,3.5,"RStudio, Pandas, Data Cleaning, Advanced Excel, VLOOKUP, Optimization, Reporting Metrics, Business Requirements, SAP Business Warehouse (SAP BW), Skill Development, Azure Data Factory, OLAP, Network Engineering, Employee Benefits, Dimensional Modeling, Applied Mathematics, Excel Formulas, Computer Science, Data Acquisition, Data Collection, Net Promoter Score, Key Performance Indicators, Performance Analysis, Root Cause Analysis, Benchmarking, Oral Communication, Strategic Thinking, Query Writing, Data Models, Skilled Multi-tasker, Computer Literacy, Tender Submissions, Product Requirements, MATLAB, Process Automation, Excel Automation, Data Integration, Data Science, Ad Hoc Analysis, Statistics, Extract, Transform, Load (ETL), MySQL, Data Analysis, Business Intelligence (BI), Business Analysis, Time Management, Analytical Thinking, Problem Solving, Decision-Making, Attention to Detail, Teamwork, Communication, Presentation Skills, Analytics, Python (Programming Language), Microsoft Excel, SQL, Microsoft Power BI, Office 365, Troubleshooting, Technical Support, CCNA, Wordpress Development, Insurance Process, Microsoft Office, Digital Marketing, Android Studio, Civil Engineering, AutoCAD",Bachelor of Technology - BTech,Kolhan University Chaibasa,,Bengaluru,Karnataka,India,data_analysts
Data Analyst,HirePro,6.1,"MySQL, Data Analysis, Problem Solving, Business Insights, Databases, Research Methods, Product Support, Data Collection, Critical Thinking, Data Visualization, Dashboards, Business Requirements, Requirements Analysis, Analytics, Statistics, Microsoft Excel, Presentation Skills, Interpersonal Communication, Microsoft Power BI, SQL, Analytical Skills, Snowflake, Machine Learning, Data Science, Python (Programming Language), Pandas (Software), Seaborn, Anaconda, Meachine Learning, Natural Language Processing (NLP), Neural Networks",Bachelor of Commerce - BCom,Bangalore University,,Bengaluru,Karnataka,India,data_analysts
Data Analyst Intern,BDreamz Global Solutions Private Limited,0.6,"Problem Solving, MIS Reporting, Attention to Detail, Information Systems, Business Administration, Management Information Systems (MIS), Data Management, Pivot Tables, Advance excel, Data Cleaning, MySQL, Teamwork, Data Analytics, Hlookups, VLOOKUP, DAX, Tableau, Data Mining, Data Modeling, Microsoft Power BI, Microsoft Office, Visual Basic for Applications (VBA), Dashboards, Visualization, Statistical Data Analysis, SQL Server Analysis Services (SSAS), Database Management System (DBMS), SQL, Python (Programming Language), Microsoft Word, Artificial Intelligence (AI), Data Analysis, Team Leadership, Microsoft Excel, Python sql VBA power bi , Project Management, English, Research Skills, Marketing, Training, Communication, Strategy, Analytical Skills, Finance, Presentations",M.com,Karnatak University,"Data Analytics Assessment , Python, SQL Certification: Basic to adavance , Data Analysis using AI, BUSINESS CORRESPONDENT, Data analyst , Data analytics ",Bengaluru,Karnataka,India,data_analysts
