current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
ML Ops Engineer ,Signify,1.6,"Ml ops, Statistical Data Analysis, Big Data Analytics, Data Analysis, Flutter, Python (Programming Language), Tax Preparation, Leadership, Brand Awareness, Communication, Engineering, English, Analytical Skills, Finance",Bachelor of Technology - BTech,"Christ University, Bangalore","Discovering SAP Business Technology Platform - Record of Achievement, Exploring Planning Processes in SAP IBP - Record of Achievement, Exploring SAP Cloud ERP - Record of Achievement, Exploring SAP Datasphere - Record of Achievement, Exploring SAP S/4HANA embedded analytics - Record of Achievement, Exploring the Tools and Features in SAP IBP - Record of Achievement, Introducing the RISE with SAP Methodology for SAP Partners and Customers - Record of Achievement, Managing Clean Core for SAP S/4HANA Cloud - Record of Achievement, Modernizing Integration with SAP Integration Suite - SAP Learning MOOC - Record of Achievement, Exploring SAP Analytics Cloud - Record of Achievement, Snowflake for Data Science: Intro to Snowpark ML for Python, Introduction to Retrieval Augmented Generation (RAG), AWS Cloud Technical Essentials, Introduction to Cloud Computing, Introduction to Microsoft Azure Cloud Services, Introduction to Structured Query Language (SQL), Programming Foundations with JavaScript, HTML and CSS, Python Basics",Bengaluru,Karnataka,India,mlopss
ML Ops Engineer,Resmed,7.4,"DevOps, Terraform, Amazon Web Services (AWS), Kubernetes, IT Cost Optimization, Containerization, GitHub, Amazon EKS, AWS Lambda, AWS Identity and Access Management (AWS IAM), Amazon S3, Amazon EC2, Java, Python (Programming Language), Microsoft SQL Server, Data Structures, Machine Learning, Azure Kubernetes Service (AKS), Azure DevOps, Docker, Angular, Flask, Jinja2, C++, C, Spring MVC, JavaScript, MongoDB, JUnit, React.js, Visual Basic for Applications (VBA), HTML5, Bootstrap, Cascading Style Sheets (CSS), Crystal Reports, TypeScript, JMeter, TestNG",Bachelor’s Degree,ABES Engineering College,,Bengaluru,Karnataka,India,mlopss
NLP Intern,Stride.ai Inc,6.4,"Python, TensorFlow, Computer Vision, NumPy, Pandas (Software), Artificial Intelligence (AI), C++, Python (Programming Language), Machine learning, Deep Learning, PyTorch, Natural Language Processing (NLP), JavaScript, Problem Solving, Scikit-Learn, HTML",Bachelor of Technology - BTech,"Indian Institute of Technology, Roorkee",,Gwalior,Madhya Pradesh,India,mlopss
Software Engineer Intern,Assisto Technologies Pvt. Ltd,0.4,"MLOps, HTML5, Cascading Style Sheets (CSS), Linux System Administration, Linux, Mac, Cloud Computing, Communication, Containerization, Gitlab, DevOps, Test Automation, Continuous Integration and Continuous Delivery (CI/CD), C#, Java, JavaScript, Python (Programming Language), Cloud architect, Cloud Administration, Amazon Web Services (AWS), Amazon EC2, Amazon S3, Amazon VPC, Elastic Load Balancing, Amazon IAM, R53, Amazon Simple Notification Service (SNS), Amazon SQS, Docker, Jenkins, Git, Ansible, Terraform, Kubernetes",B.Tech ,SRM University (Sri Ramaswamy Memorial University),,Bengaluru,Karnataka,India,mlopss
Assistant Consultant,Tata Consultancy Services,9.2,"MLflow, ml-flow, Pandas, Scikit-Learn, Data Analysis, Continuous Integration and Continuous Delivery (CI/CD), Gitlab, ML-Ops, Amazon EMR, Web Services API, Amazon Web Services (AWS), Amazon Elastic MapReduce (EMR), Amazon S3, Redshift, Python (Programming Language), Docker, Amazon EC2, SQL, Analytics, Data Analytics, Microsoft Excel, Hadoop, Scala, Apache Spark, Spark SQL",Bachelor of Technology - BTech,VBIT,,Bengaluru,Karnataka,India,mlopss
Senior System Analyst,IBM,13.1,"ML Ops, Data Integration, Data Architecture, Architecture, Enterprise Architecture, Third-Party Vendor Management, Problem Solving, Communication, Gen AI, Team Management, Project Planning, Release Management, Technical Leadership, Terraform, Infrastructure as a Service (IaaS), DevOps, Vulnerability Assessment, Google Kubernetes Engine (GKE), Jenkins, Helm Charts, Docker Products, Microservices, api, API Development, iib, MQ, Google Cloud Platform (GCP)",,,,Bengaluru,Karnataka,India,mlopss
ML Ops Engineer,Turno,0.4,"Webflow, React Native, Database Systems, Web Applications, Programming Languages, Computer Science, Databases, Programming, Object-Oriented Programming (OOP), Tableau, Machine Learning, Git, Python (Programming Language), SQL, Microsoft Power BI, Cascading Style Sheets (CSS), HTML, JavaScript, Responsive Web Design, optimisation, Interaction Design, Engineering, Strategy, Communication, Presentations, Problem Solving, Management, Leadership, Customer Service, Analytical Skills, Research, English",Bachelor's degree,Vellore Institute of Technology,,Bengaluru,Karnataka,India,mlopss
AI Engineer 2,IQVIA,7.2,"Databricks Products, Large Language Models (LLM), Gitlab, RAG, Google Cloud Platform (GCP), Machine Learning, Azure DevOps Server, Streamlit, Forecasting, Natural Language Processing (NLP), MLflow, Unity Catalog, Continuous Integration and Continuous Delivery (CI/CD), Jupyter, AWS SageMaker, MLOps, Python, Azure Automation, Azure monitor, Microsoft Power Bi, SQL Server Management Studio, SQL Server Integration Services (SSIS), Microsoft Excel, Azure Data Factory, Azure Virtual Machines, MLOps Blog, Azure Blob, Role-Based Access Control (RBAC), JSON Web Token (JWT), Pandas, Postman API, Back-End Web Development, GitHub, Auzre Delta lake, Azure Databricks, Azure Telemetry, Django, Azure redis, PySpark, Django REST Framework, Python (Programming Language), Microsoft Azure, Power Bi , Azure Kusto, Cloud Computing, Microsoft SQL Server, Artificial Intelligence (AI), Computer Ethics, Generative AI, Docker Products, Generative AI Tools, Artificial Intelligence for Business, Search Engine Technology, Responsible AI",Bachelor of Technology,Visvesvaraya Technological University,"Databricks AI Fundamentals, Learning Docker, Career Essentials in Generative AI by Microsoft and LinkedIn, Introduction to Artificial Intelligence, Ethics in the Age of Generative AI, Generative AI: The Evolution of Thoughtful Online Search, What Is Generative AI?, IBM Certified Python for Data Science, Analyzing and Visualizing Data with Microsoft Power BI",Bengaluru,Karnataka,India,mlopss
ML Ops Engineer ,Tata Consultancy Services,2.0,"Agents, Kubernetes, Cloud Computing, Gen AI, Google Cloud Platform (GCP), MLOps, Data Analysis, JavaServer Pages (JSP), Java Database Connectivity (JDBC), Unix, Machine Learning Algorithms, Artificial Intelligence (AI), Natural Language Processing (NLP), Statistics, Machine Learning, TensorFlow, SQL, Python, PostgreSQL, XML, Tailwind CSS, Algorithms, Git, Express.js, API Development, jQuery, MongoDB, Node.js, Front-End Development, React.js, C++, Java, Python (Programming Language), C (Programming Language), HTML, Cascading Style Sheets (CSS), JavaScript, Data Structures, competitive Coding ",Bachelor of Technology - BTech,RVR &JC College of engineering,"Google Cloud Certified Associate Cloud Engineer, GCP Associate Cloud Engineer - Google Cloud Certification, The Complete 2023 Web Development Bootcamp , AWS Academy Graduate - AWS Academy Cloud Foundations, Principles of Management --- NPTEL, Programming in Modern C++ --- NPTEL, MTA: Programming Using Python - Certified 2022, Programming in Java --- NPTEL, Programming, Data Structures and Algorithms Using Python --- NPTEL, The Joy Of Computing Using Python --- NPTEL",Chennai,Tamil Nadu,India,mlopss
Senior Consultant - Software Engineering,Visa,12.0,"Computer Science, Agile Software Development, Amazon Web Services (AWS), Large-scale Data Processing, Python (Programming Language), Architecture, Java, Python, Machine Learning, Data Structures, Programming, Big Data, Multithreading, Distributed Systems, Shell Scripting, Analytics, Object-Oriented Programming (OOP), Software Development, Artificial Intelligence (AI), MLOps, Bash, Linux, .NET, Core Java, Eclipse, SQL, Maven, Hadoop, Apache Ant, NoSQL, REST API, Hive, Java Enterprise Edition, J2EE Application Development, Yarn, Solr, Apache Kafka, Extjs, JAX-WS, Apache ZooKeeper, Time Series Analysis, Network Topology, Batch Processing, RDBMS, Data Pipelines",Post Graduate Diploma in Advanced Computing,"Advanced Computing Training School, Centre for Development of Advanced Computing (CDAC), Pune","Machine Learning Data Lifecycle in Production, Introduction to Machine Learning in Production",Bengaluru,Karnataka,India,mlopss
