current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Software Development Intern,Vitals7,0.7,"Mobile Application Development, HTML, Cascading Style Sheets (CSS), JavaScript, HTML5, React Native, React, Web Development",Bachelor of Engineering - BE,Acharya ,Warrior,Bengaluru,Karnataka,India,mobiledevFinal
Full Stack Developer,Swiftmed (Sikdar Technologies Pvt. Ltd.) ,0.3,"PHP, AngularJS, Full-Stack Development, Mobile Application Development, Web Development, Responsive Web Design, State Management, Java Programmer, Spring Boot, Java Mobile Application Development, Java ( JDBC -- Collection Framework -- Jsp & Servlet ), Flutter Full-Stack Development, Flutter, React Native, MERN Stack, React.js, Node.js, Express.js, MongoDB, UI/UX Optimization, User Interface Design using Figma, Wireframing, Android, Android Studio, Expo, REST APIs, iOS Development, Postman API, Vercel.com for Deployment, Amazon Web Services (AWS), Application Deployment, Firebase, Git, Docker, Prompt Engineering, Data Structures, Problem Solving, Time Management, Team Leadership, Object-Oriented Programming (OOP), Android Development, deployment, Communication, Basics of php, Type writing ( Lower 30wpm), sales force developer, Machine Learning with Python, Cascading Style Sheets (CSS), SQL, HTML5, Java, JavaScript, Python (Programming Language), MySQL",Master of Computer Applications - MCA,Presidency University Bangalore,"Full Stack Developer Intern, Flutter, Java Database Connectivity( JDBC ) - Servlet, Java Hibernate, ChatGPT Beginner, Java  Python ,  Java - Full Stack Software Developer, Machine Learning, Salesforce Certified Developer, Html Certification, Technical Examination Certificate of TypeWriting ( Lower 30wpm ), Full Stack Developer",Bengaluru,Karnataka,India,mobiledevFinal
Android Developer Intern,Tamizhan Skills,0.8,"Postman, Firebase database, Glassmorphism, Dart, Cloud Firestore, Firebase, GitHub, Git, Java, Android Development, XML, REST APIs, Flutter",,,,,Punjab,India,mobiledevFinal
Software Engineer,CoffeeWeb.com,2.9,"Flutter, Dart, Getx, Firebase, REST APIs, Git, Android",Master of Computer Applications - MCA,"Sam Higginbottom University of Agriculture, Technology And Sciences (SHUATS)",,Bengaluru,Karnataka,India,mobiledevFinal
Mobile Application Developer,OptimallyMe,4.1,"Continuous Integration and Continuous Delivery (CI/CD), Fvm, Web Scraping, Data Scraping, PAC, Embedded Systems, Energy, Technology Management, Mobile Enterprise, Django, Django REST Framework, Representational State Transfer (REST), Design Patterns, Version Control, MATLAB, Verilog, Cloud Firestore, Python (Programming Language), Product Management, Google Analytics, Team Building, Attention to Detail, SQL, Databases, State Management, Mobile Application Development, Java, Firebase, Object-Oriented Programming (OOP), Data Structures, Algorithms, Programming, Computer Science, Database Management System (DBMS), Cascading Style Sheets (CSS), Creative Writing, REST APIs, Git, Teamwork, Software, Modeling and Simulation, Software Development, Figma (Software), Debugging Code, Android, Debugging, Analytical Skills, Strategy, Problem Solving, iOS, iOS Development, Android Development, English, Communication, Presentations, Microsoft PowerPoint, Flutter, Leadership, Dart",Bachelor of Engineering - BE,Sir M Visvesvaraya Institute Of Technology,,Bengaluru,Karnataka,India,mobiledevFinal
Mobile Application Developer,Neuronest AI Pvt Ltd,1.7,"Mobile Application Development, Servers, Computer Maintenance, Computer Hardware, Research Skills, Problem Solving, Flutter developer",Bachelor of Engineering - BE,Sethu Institute of Technology,,Madurai,Tamil Nadu,India,mobiledevFinal
IT Analyst,Tata Consultancy Services,7.8,"DevOps, docker, Mean Stack, Ionic Framework, React.js, React Native, HTML5, Cascading Style Sheets (CSS), Bootstrap, JavaScript, Angular, Angular Material, Node.js, MongoDB, Amazon EC2, Amazon S3, MySQL, PHP",Master of Computer Applications - MCA,"Bharathidasan University, Tiruchirappalli",,Chennai,Tamil Nadu,India,mobiledevFinal
Software Engineer,STMicroelectronics,0.5,"Git, Docker Products, Docker, Jenkins, Red Hat Linux, Shell Scripting, Python (Programming Language), Linux, Node.js, Flutter, Dart, Canva, HTML, After Effects, Adobe Premiere Pro, C++",Bachelor of Technology - BTech,National Institute of Technology Rourkela,,Bengaluru,Karnataka,India,mobiledevFinal
SDE,Suthra Technologies Inc,1.5,"Telugu, Adobe Illustrator, GitHub, C++, JavaScript, React.js, Figma (Software), Node.js, Adobe Photoshop, Web Development, Cascading Style Sheets (CSS), Blockchain, Ethereum, Application Development, Cryptocurrency, Smart Contracts, Software Testing",,PRASAD V POTLURI SIDDHARTHA INSTITUTE OF TECHNOLOGY,"Frontend Developer (React) Certificate, Building an Ethereum Blockchain App: 7 Smart Contracts, Building an Ethereum Blockchain App: 9 Testing Ethereum Apps, Building an Ethereum Blockchain App: 2 Introduction to Ethereum, Building an Ethereum Blockchain App: 3 Ethereum Development, Building an Ethereum Blockchain App: 4 Ethereum Development Tools, Building an Ethereum Blockchain App: 5 Your Ethereum Wallet, Building an Ethereum Blockchain App: 6 Building Your First Ethereum App, Building an Ethereum Blockchain App: 1 Introduction to Blockchain, Certificate of Participation in Level 1.1: E-Commerce , Introduction to CSS, CSS, Problem Solving (Basic)",Vijayawada,Andhra Pradesh,India,mobiledevFinal
Software Development Intern,Labsmart,3.6,"NestJS, TypeScript, Socket.io, WebSocket, Haml, Ruby, Ruby on Rails, PostgreSQL, Heroku, Bloc, Xcode, Amazon Web Services (AWS), Dart, Express.js, REST APIs, Git, GitHub, Docker, Amazon EC2, Computer Science, Cybersecurity, Jenkins, Kali Linux, Docker Products, Networking, Operating Systems, Linux, SQL, Python (Programming Language), React.js, Cascading Style Sheets (CSS), HTML5, Firebase, MongoDB, Flutter, Node.js, JavaScript, C++",Bachelor of Technology - BTech,Indian Institute of Information Technology Dharwad,,Bengaluru,Karnataka,India,mobiledevFinal
