current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
,,,"GitHub, Express.js, MongoDB, Node Js, JavaScript",Bachelor of Engineering - BE,CMR Institute Of Technology,,Bengaluru,Karnataka,India,backendFinal
Backend Engineering,CRED,9.2,"Python, Microsoft Azure, Machine Learning, Process Automation, Product Development, Software Development, Statistics, Unix, SQL, Docker, Django, Kubernetes, DevOps, Eyeshare Ayehu, Gitlab CI/CD, Python (Programming Language)",Bachelor of Technology (B.Tech.),St. Thomas College of Engineering and Technology,"Microsoft Certified: Azure AI Fundamentals, Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Fundamentals, Exam 778: Analyzing and Visualizing Data with Power BI, Kubernetes, Docker, Exam 533: Implementing Microsoft Azure Infrastructure Solutions, Oracle Cloud Infrastructure Foundations 2021 Certified Associate",Bengaluru,Karnataka,India,backendFinal
Senior Software Engineer,Privafy,4.8,"Microsoft Active Directory, Active Directory, Go (Programming Language), PostgreSQL, Kubernetes, Amazon Web Services (AWS), Microservices, Docker, Networking, Java, Data Structures, React.js, Node.js, JavaScript, Android, GitHub, Cascading Style Sheets (CSS), Linux, MongoDB, C (Programming Language)",Bachelor of Engineering - BE,Chitkara University,"Server-side Development with NodeJS, Express and MongoDB, Front-End Web Development with React, Front-End Web UI Frameworks and Tools: Bootstrap 4",Bengaluru,Karnataka,India,backendFinal
Backend developer,Powerplay,4.1,"JavaScript, Node.js, C++, Data Structures, Full-Stack Development",B. Tech,"Rajasthan Technical University, Kota",JavaScript - The Complete Guide 2021 (Beginner + Advanced),Bengaluru,Karnataka,India,backendFinal
System Engineer,Tata Consultancy Services,3.6,"Spring boot ,  Microservices ,  Junit, Mockito,  Opensearch, Unit Testing, JUnit, Java Development, JSON, JDK, Incident Management, Microservices, Apache Kafka, Software Development Life Cycle (SDLC), Jenkins, Kibana, SQL, Filezilla, Sonarqube, Amazon EC2, ServiceNow, Gitlab, Putty, Elasticsearch, VDI, Eclipse IDE, Microsoft Office, Spring Boot, Jira, Solr, GraphQL, Java, Software Development",Bachelor of Technology - BTech,"Sir Vishveshwaraiah Institute of Science & Technology, Madanapalle",Java Full Stack Development,Bengaluru,Karnataka,India,backendFinal
Senior backend developer,Nextgen Technologies Inc,15.1,"Queues, Distributed Systems, Hadoop, Apache Spark, Java, Spring MVC, AngularJS, jQuery, Hibernate, JavaScript, Microsoft Office, Microsoft Excel, Microsoft Word, PowerPoint, MySQL, C++, Dropwizard, Core Java, Unix, Jenkins, Kubernetes",Bachelor's degree,silicon institute of technology bbsr,,Bengaluru,Karnataka,India,backendFinal
Associate Engineer,L&T Technology Services,1.2,"Representational State Transfer (REST), Java Software Development, IntelliJ IDEA, Core Java, artificial intelligence , Application Programming Interfaces (API), Maven, Linux, Spring Framework, Spring MVC, Git, REST APIs, Object-Oriented Programming (OOP), Skill Development, Back-End Web Development, RESTful WebServices, Apache Kafka, Microservices, Node.js, Machine Learning, Artificial Intelligence (AI), Deep Learning, SQL, Spring boot, Postman, MongoDB, Postman API, Swagger API, Spring Boot, C (Programming Language), Organization Skills, Relationship Development, Data Collection, MySQL, Microsoft Power BI, JavaScript, Prompt Engineering, Python (Programming Language), Java, HTML, Good speaker , Programming, English, Communication, Problem Solving, Team Leadership, Teamwork, Fast Learner, Research Skills, Work Ethics, Decision-Making, Time Management, Hard work and Smart Work, Attention to Detail, Leadership Experience, Project Management, Active Listening, Easily Adaptable, Leadership, Computer Science, Data Structures, Software Development",Bachelor of Technology - BTech,Kalasalingam University,,Bengaluru,Karnataka,India,backendFinal
Engineer II,American Express,4.9,"REST APIs, MySQL, Spring Framework, Systems Design, Java11, RESTful WebServices, Java 11, Apache Kafka, Spring Data, Spring Security, Docker, Kubernetes, RDBMS, Oracle Database, Git, Hindi, Malayalam, Intel 8085, Python (Programming Language), Public Speaking, Computer-Aided Design (CAD), English, Entrepreneurship, Java, Spring Boot, Angular, Oracle SQL Developer, Couchbase",Bachelor of Technology - BTech,"Rajagiri School of Engineering and Technology, Rajagiri Valley P.O, Kakkanad, Kochi- 682 039","Infosys Certified Java Programmer, Infosys Certified Couchbase Developer, Infosys Certified Spring REST Professional, Infosys Certified Spring Professional, Business English Level 5",Cochin,Kerala,India,backendFinal
Software Engineer,Idexcel,1.6,"API Development, PostgreSQL, Java, Computer Science, Programming, Ruby, HTML, Apache Kafka, Sidekiq, Jira, Git, Linux, AJAX, jQuery, Ruby on Rails, MySQL, Redis, JavaScript, Cascading Style Sheets (CSS), HTML5, SQL",Master of Business Administration - MBA,Manipal University Jaipur,"Ruby, Ruby on Rails, Java Development Course",Hāveri,Karnataka,India,backendFinal
Java Software Developer,Telaverge Communications,1.8,"Core Java, J2EE Application Development, Spring Boot, Spring MVC, MySQL, Git, GitHub, Object-Oriented Programming (OOP), Problem Solving, Teamwork, Critical Thinking, Data Structures, Java, JavaScript, HTML, Cascading Style Sheets (CSS), Algorithms, Computer Networking",Bachelor of Engineering - BE,Visvesvaraya Technological University,"c++ launchpad, git and github master course",Bengaluru,Karnataka,India,backendFinal
Software Engineer,Clarivate,3.3,"Apache Kafka, Spring Framework, Spring Boot, Server Side Programming, Server Programming, Back-End Web Development, Web Application Development, JUnit, Microservices, Hibernate, MySQL, Java",Bachelor's degree,"Palamuru University, Mahabubnagar",,Bengaluru,Karnataka,India,backendFinal
Software Engineer,Datawrkz,5.0,"Flask, AngularJS, HTML5, Cascading Style Sheets (CSS), REST APIs, Pandas, Django, Pandas (Software), MySQL, PostgreSQL, Amazon S3, Python (Programming Language), C (Programming Language), Data Science, Data Analysis, Java, SQL, Core Java, Microsoft Office, Git, Database Management System (DBMS), JavaScript, Microsoft Word, MongoDB, Machine Learning",B.TECH,"RGM Group of Institutions, Nandyal",,Bengaluru,Karnataka,India,backendFinal
Senior Associate,Cognizant,10.6,"Servergrid, TeamCity, Software Development, Core Java, Microsoft Excel, Spring MVC, Spring Boot, Hibernate, RESTful WebServices, Java, Amazon Web Services (AWS), Microservices, SQL, Representational State Transfer (REST), Spring Framework, Spring Batch, Spring Security, MongoDB",B. Tech,Kuppam Engineering College. Chittoor,,Bengaluru,Karnataka,India,backendFinal
Back End Engineer,Deel,6.3,"OAuth 2, Lua, Amazon Web Services (AWS), Docker, Node.js, Vue.js, MongoDB, Nginx, Systems Design, Kubernetes, SQL, Python (Programming Language), Trading Systems, RabbitMQ, Apache Kafka, Machine Learning, Artificial Intelligence (AI), Algorithm Development, Algorithms, Java, Spring Boot, JavaScript, Software Development Life Cycle (SDLC), Cascading Style Sheets (CSS), PHP, JSP, MySQL, HTML, Database Management System (DBMS)",Master's degree,Ramnarain Ruia College - Mumbai,"Natural Language Processing with Classification and Vector Spaces, Neural Networks and Deep Learning, Algorithmic Toolbox, Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning, Mathematics for Machine Learning: Multivariate Calculus, Mathematics for Machine Learning: PCA, Machine Learning, Mathematics for Machine Learning: Linear Algebra, Front-End Web UI Frameworks and Tools: Bootstrap 4",Bengaluru,Karnataka,India,backendFinal
