current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Business Analyst,Quantiphi,1.3,"Entrepreneurship, Digital Printing, Team Management, reseach paper, Front-End Development, Group Presentations, Business Communications, Technical Presentations, Data Management, Presentation Skills, Leadership Management, Leadership, Marketing, Communication, Presentations, English, Data Analysis, Business Analysis, Analytical Skills, Advertising",Bachelor of Engineering - BE,CMR Institute Of Technology,"AWS Certified Cloud Practitioner, Intern at interpe, Full stack web development and AI with Python",Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,MFine,2.3,"Google Apps Script, Advanced excel , Business Intelligence (BI), Analytical Solutions, Metabase , Requirements Gathering,  Python, Tableau , Business insights , Stakeholder Management, critical thinking , Business Understanding, MetaBase, Data Modeling, Business Requirements, A/B Testing, Hypothesis Testing, Insight Generation, Programming Languages, KPI Dashboards, Dashboards, Databases, Statistics, Business Insights, Teamwork, VLOOKUP, Pivot Tables, Reporting Tool, Key Performance Indicators, Extract, Transform, Load (ETL), Visualization, Data Science, Communication, Analytics, Computer Science, big query, Data Analytics, Google Sheets, Data Analysis, Data Visualization, Critical Thinking, Analytical Skills, Python (Programming Language), Microsoft Excel, Problem Solving, SQL, Tableau, NumPy, pandas, Matplotlib, Seaborn",Data science,Scaler,"Hackerrank SQL intermediate, Hackerrank SQL basics",Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,Foxconn,2.1,"Pricing Strategy, Data Analysis, Quotations, Financial Project Management, Financial Analysis, Trend Analysis, Project Management, Communication, Training, Administration, Enterprise Resource Planning (ERP), Volunteering, Planning, Microsoft Excel, Adobe Illustrator, Presentations, Management, Problem Solving, Analytical Skills, Account Management, Business Analysis",Master of Business Administration - MBA,Narsee Monjee Institute of Management Studies (NMIMS) Navi Mumbai,Master of Business Administration - Operations Management,Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,Quantiphi,1.8,"Easily Adaptable, Problem Solving, Environmental Awareness, Quality Control, Supply Management, Transportation Engineering, Sustainability, Supply Chain Management, Jira, Project Management, Microsoft Excel, Communication",Bachelor of Engineering - BE,B. M. S. College of Engineering,,Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,Impact Analytics,3.5,"Microsoft Power BI, WordPress, Pandas (Software), Microsoft Excel, Work-based Learning, React.js, Bootstrap (Framework), SQL, Wireframing, Organizational Consulting, Interpersonal Skills, Leadership, Finance, Presentations, Strategy, Problem Solving, Organization Skills, Writing, Public Speaking, Python (Programming Language), Web Development, Creative Writing, Creative Problem Solving, Communication, Engineering, English, Analytical Skills, Sketching, C (Programming Language)",Bachelor of Engineering - BE,"Birla Institute of Technology and Science, Pilani",,Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,IQVIA,5.7,"Managerial Economics, Managing People & Organizations, Marketing Management, Financial Management, Business Analytics, Operations and Supply Chain Management, Digital Transformation, Strategic Management, Entrepreneurship and Business Models, Agile Project Management, Scrum, Attention to Detail, Analytical Skills, Documentation, User Stories, Business Analysis and Strategy, Business Technology Management & Tools, Career Management, Customer Service and Success, Data Analysis and Management, Design, Interpersonal Communication, Process Improvement and Operations, Marketing, Technology Development & Innovation, User Management and Security, Configuration and Setup, Object Manager and Lightning App Builder, Sales and Marketing Applications, Service and Support Applications, Data and Analytics Management, Reports & Dashboards for Lightning Experience, Workflow / Process Automation, Software Development Life Cycle (SDLC), Test Processes, Test Planning, Test Analysis, Traceability Matrix, Business Process, Business Analysis Planning & Monitoring, product scope, Strategic Analysis, Solution Architecture, Ratio Analysis, Stakeholder Analysis, Project Stakeholder Management, Gap Analysis, Business Requirements, Test Automation, Agile Methodologies, Stakeholder Management, Test Case Generation, Bug Tracking, Reporting & Analysis, TestRail, Application Testing, Localization Testing, Salesforce Lightning, Manual Test Execution, Salesforce.com, Postman API, Jira, Python (Programming Language), Requirements Analysis, Test Management, Test Execution, Functional Testing, Manual Testing, Regression Testing, C (Programming Language), Matlab, R (Programming Language), Kanban, Team Management, Digital testing, Software Testing, Requirements Gathering, Test Design, Agile Testing, Public Speaking, Presentation Skills",Postgraduate Degree,Indian Institute of Management Visakhapatnam,"Registered Product Owner™, Agile Foundations, Agile Project Management with Jira Cloud: 1 Projects, Boards, and Issues, Agile Project Management with Jira Cloud: 2 Lean and Agile Processes, Agile Project Management with Jira Cloud: 3 Advanced Topics, Atlassian Agile Project Management Professional Certificate, Scrum: The Basics, Salesforce Certified Business Analyst,  Diploma in Business Analysis,  ISTQB FOUNDATION LEVEL CERTIFICATION, Salesforce Certified Administrator (SCA)",Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,ANALITICA,5.2,SQL,Mechanical Engineering,Odisha University of Technology and Research,,Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,Impact Analytics,1.9,"Supply Chain Management, Portfolio Analysis, Sports Performance Enhancement, Powerlifting, Business Intelligence (BI), Meeting Facilitation, Process Improvement Analysis, Business Insights, Strength Training, Portfolio Optimization, Product Development, Problem Solving, Case Analysis, Engineering Education, Student Engagement, Inventory Optimization, Supply Chain Optimization, Product Analytics, Scenario Testing, Statistical Modeling, Strategic Project Management, SKU Management, Gap Analysis, Operational Planning, Sport Administration, Data Reporting, Strategic Improvement, Project Tracking, Teamwork, Business Process Efficiency",Bachelor of Engineering - BE,"Birla Institute of Technology and Science, Pilani - Goa Campus",,Bengaluru,Karnataka,India,business_analyst_Final
Analytics Consultant,AB InBev,7.2,"Business Analysis, Presentations, Business Insights, Microsoft PowerPoint, Microsoft Office, Pricing Analysis, Marketing Analytics, Analytical Skills, SQL, Microsoft Excel, Business Analytics, Problem Solving, Data Visualization, Data Analytics, Full-Stack Development, Python, C++, Machine Learning, Web Development, Data Structures, Electronics, Data Analysis, Pandas, Node.js, Vue.js, Cloud Firestore, Firebase, HTML5, CSS, Numpy, aurdino ide, Processing",Bachelor of Technology - BTech,"Indian Institute of Technology, Kanpur",,Bengaluru,Karnataka,India,business_analyst_Final
Business Analyst,Innefu Labs,6.6,"Data Visualization, Data Analysis, Python, Microsoft SQL Server, Statistical Data Analysis, Business Analysis, Microsoft Power BI, Data Manipulation, Tableau, Pandas, NumPy, Exploratory Data Analysis, Seaborn, Matplotlib, Machine Learning, Statistics, SQL, Problem Solving, KPI Dashboards, Dashboards, Statistical Concepts, Personality Development, Analytical Skills, Data Analytics, Public Speaking, Teamwork, Communication, Tech Career Skills, English, Ethics, Growth Strategies",Bachelor of Science - BS,Mahatma Gandhi Kashi Vidyapeeth,"Data Analysis with Python, Mathematical Optimization for Business Problems, Data Visualization with Python, Introduction to Career Skills in Data Analytics, Project Management Fundamentals, Python 101 for Data Science, Statistics 101, Tata Group - Data Visualisation: Empowering Business with Effective Insights Job Simulation, What Is Business Analysis?, English and personality development",Delhi,Delhi,India,business_analyst_Final
