current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Web3 Developer ,Alkimi,1.8,"Rust (Programming Language), Move, Nautilus, Walrus, Seal, TEE, Ethereum,  foundry , Smart Contracts, Blockchain, Full-Stack Development, Node js, TypeScript, MERN Stack, Amazon Web Services (AWS), Software Infrastructure, Front-End Development, Back-End Web Development, Next.js, MongoDB, Ethers, Node.js, Solidity , React.js, Tailwind CSS, JavaScript",Bachelor of Engineering - BE,Visvesvaraya Technological University,,Bengaluru,Karnataka,India,web3_developers
Software Engineer,Swifey,1.2,"Node.js, FastAPI, Flutter, Flask, Supabase, Next.js, Rust (Programming Language), NestJS, Amazon Web Services (AWS), MongoDB, React.js, Java, Back-End Web Development, Spring Boot, Unity, JavaScript, MySQL, Web Development, Data Structures and Algorithms, Meta-XR All in One SDK, C#, Cascading Style Sheets (CSS), HTML, Object-Oriented Programming (OOP), Python (Programming Language), NumPy, Probability And Statistics, Linear Algebra, C (Programming Language), Discrete Mathematics",BS + MS,Scaler School of Technology,,Bengaluru,Karnataka,India,web3_developers
Intern,ShadowFox,0.1,"Certified Ethical Hacker (CEH v12) Online Training & Certification, Communication, Cybersecurity",,Amity University,"Cybersecurity Fundamentals, Mastercard - Cybersecurity Job Simulation",Bengaluru,Karnataka,India,web3_developers
,,,,Bachelor of Technology - BTech,SRM IST Chennai,,Chennai,Tamil Nadu,India,web3_developers
QA Test Engineer,House of Web3,4.9,"Automation, Java, API Testing, Postman API, Agile Testing, Core Java, Maven, Jira, Automation testing, Test Scripts, TestNG, Selenium WebDriver, Selenium, Manual Test Execution, Functional Testing, Manual Testing, Smoke Testing, Agile Methodologies, Test Design, Test Cases, Test Planning, Regression Testing, Software Testing, Integration Testing",Diploma of Education,Impact College Of Engineering And Applied Sciences,,Bengaluru,Karnataka,India,web3_developers
Independent Trader,,6.6,"JavaScript, React.js, Web Development, UI/UX, Node.js, Entrepreneurship, Project Management, Communication, Product Quality, Production Systems, User Experience (UX), Research, Data Structures, Algorithms, Software Engineering, Software Project Management, Testing, Front-End Development, Programming, Requirements Analysis, Search Engine Optimization (SEO), C, C++, HTML5, Apollo GraphQL, MongoDB, PostgreSQL, CSS, GraphQL, Next.js, JavaScript Frameworks, RESTful WebServices, Git, GitHub, HTML, Cascading Style Sheets (CSS), Bootstrap, ECMAScript, Representational State Transfer (REST), Linux, Webpack, Teamwork, Public Speaking, Leadership, Start-up Environment, Web Applications, TypeScript, Jest",Student,GeekSkool,"Basics of Data Analytics Certification, Design Workshop on Internet of Things",Bengaluru,Karnataka,India,web3_developers
SDE I,astuto.ai,3.1,"CUR, FastAPI, ClickHouse, PostgreSQL, Next.js, Tailwind CSS, Amazon Web Services (AWS), Flask, REST APIs, Docker, Full-Stack Development, Robotic Process Automation (RPA), Cloud Computing, Python (Programming Language), AWS Identity and Access Management (AWS IAM), AWS Lambda, Amazon Dynamodb, ECS, AWS Elastic Beanstalk, Amazon ECS, Amazon VPC, Amazon S3, Amazon Relational Database Service (RDS), Amazon CloudFront, Amazon Lex, Amazon EC2, AWS CloudFormation, Amazon CloudWatch, AWS Command Line Interface (CLI), Amazon Redshift, Amazon EBS, Amazon SQS, Amazon Lightsail, WordPress, Elementor, Serverless Computing, Tableau, Arrow Functions, HTML, TypeScript, Data Structures, Object Oriented Design, Development Testing, Reliability, Code Review, Version Control, Coding Standards, Computer Science, Databases, Data Analysis, Data Visualization, Data Warehousing, Data Modeling",Data Science and Machine Learning,Scaler,"Amazon Web Services DevOps Engineer - Professional, AWS Certified Developer Associate (DVA-C02)",Bengaluru,Karnataka,India,web3_developers
Software Engineer,Hetairoi Consulting LLC,4.3,"Web Design, React.js, TypeScript, Tailwind CSS, Open-Source Development, Python (Programming Language), Pygame, GTK+, Desktop Application Development",Bachelor of Technology - BTech,ABV-Indian Institute of Information Technology and Management,"Create and Manage Cloud Resources, Essential Google Cloud Infrastructure: Core Services, Essential Google Cloud Infrastructure: Foundation, Getting Started with Google Kubernetes Engine, Google Cloud Fundamentals: Core Infrastructure, Perform Foundational Infrastructure Tasks in Google Cloud, Set Up and Configure a Cloud Environment in Google Cloud",,,India,web3_developers
Web3 and Smart Contract Engineer,Alkimi,1.2,"viem, TypeScript, Software Project Management, Foundry, Smart Contract Audit, Chainlink Vrf, Foundry , smart contract, smart contract auditing, Test Planning, Test-Driven Development, Project Planning, Problem Solving, Cryptography, Computer Science, Remix IDE, Core Java, Ethereum, Decentralized Applications (DApps), Web3, Solidity, Node.js, Cascading Style Sheets (CSS), HTML, JavaScript, Java, Truffle Framework, Smart Contracts, Ethernet, Blockchain, Writing, Editing, Technical Writing, Research, Content Strategy, Blogger, Technical Writing ",Bachelor of Engineering - BE,Visvesvaraya Technological University,,,,India,web3_developers
Web3 Technical Trainer,FABC LLC,2.7,"JavaScript, HTML, Cascading Style Sheets (CSS), LinkedIn Learning , Node.js, web3.js, Express.js, Smart contract development , Ethereum blockchain, Solidity, Web3",Bachelor of Arts - BA,Manonmaniam Sundaranar University,,Tirunelveli,Tamil Nadu,India,web3_developers
