current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Software Engineering Fellowship,Headstarter AI,0.6,"C (Programming Language), Ethereum, Blockchain, Solidity, Open-Source Software, Smart Contracts, Security Audits, Linux, Bash, Git, Python (Programming Language), Java, Object-Oriented Programming (OOP), Computer Science, JavaScript, Badminton, Basketball",Bachelor of Science - BS,"Birla Institute of Technology and Science, Pilani","Java Part 1: Fundamentals, Java Part 2: Object Oriented Programming, Complete Python Mastery",Mumbai,Maharashtra,India,blockchain_developers
Intern,SkyLena Info Technology Pvt. Ltd,0.2,"Cybersecurity, Amazon Web Services (AWS), Cloud Computing, Web Applications, React.js, MongoDB, Express.js, Node.js, Microsoft Power BI, Python (Programming Language), Web Development, Problem Solving, Team Leadership",Master of Computer Applications - MCA,"Christ University, Bangalore",The Web Developer Bootcamp 2025,Bengaluru,Karnataka,India,blockchain_developers
Chief Executive Officer,DefiPe.io,4.8,"Golang, reactjs, JavaScript Libraries,  ethers.js, Cosmos SDK, JavaScript, Ethereum, Solidity, Web Development, Go (Programming Language), Smart Contracts, Next.js, Decentralized Applications (DApps), Web3, Node.js, React.js, Blockchain Development",Bachelor of Technology - BTech,BP Poddar Institute of management and technology,,Bengaluru,Karnataka,India,blockchain_developers
Software Engineer Intern,TechSparsha,1.0,"Angular, Information Science, Web Languages, Web Technologies, Experience API (xAPI), Operational Efficiency, Web-based Training, Teamwork, Lifelong Learning, Problem Solving, E-Commerce, Databases, Google Web Toolkit (GWT), Web Application Development, Field Development, Product Catalogues, Analytical Skills, Web Design, Easily Adaptable, Shopping Bags, Google Cloud Platform (GCP), C (Programming Language), Visual Studio, Flask, MySQL, SASS, Bootstrap (Framework), GitHub, Git, Interpersonal Communication, Computer Science, JavaScript Frameworks, Pycharm, Front-End Development, Python (Programming Language), JavaScript, HTML, Cascading Style Sheets (CSS), Web Development, C++, HTML5, Blockchain, Ethereum, Smart Contracts",Bachelor of Engineering - BE,Acharya institute of technology ,"Getting Started with Git and GitHub, Introduction to Programming Using Blockchain -Based Languages",Bengaluru,Karnataka,India,blockchain_developers
Senior Software Engineer,PFF,12.8,"Redis, RabbitMQ, gRPC, SurfaceUI, LiveView, Python, Elixir, Phoenix, CSS3, JavaScript, MySQL, PHP, Linux, HTML5, SQL, Codeigniter, PostgreSQL",Master’s Degree,Visvesvaraya Technological University,Cloud Computing,Bengaluru,Karnataka,India,blockchain_developers
Lead Software Engineer,Carelon Global Solutions,13.3,"Blockchain, GraphQL, Core Java, JavaScript, Python (Programming Language), Web Services, Agile Methodologies, Web Development, Software Development Life Cycle (SDLC), Object-Oriented Programming (OOP), Software Development, Cloud Computing, React.js, Angular2, HTML 5, AngularJS, AJAX, PL/SQL, JSON, ES6, SQL, MySQL, MongoDB, SASS, Cascading Style Sheets (CSS), HTML5, Node.js, REACT JS, Redux.js, Spring Boot, CSS3, RESTful WebServices, Spring Framework, Spring MVC, Java, HTML, Bootstrap, Git, React Native, Amazon Web Services (AWS), Ext JS, Sencha Touch, Socket.io, TypeScript, Express.js, Microservices, Apache Kafka, Full-Stack Development, Mean Stack, Data Science",Information Technology,SRM IST Chennai,,Bengaluru,Karnataka,India,blockchain_developers
Software Engineer,slice,3.7,"Cryptography, Hardware Security Module (HSM), TypeScript, Go (Programming Language), Node.js, MySQL, Docker, Datadog, Amazon Web Services (AWS), JavaScript, FinTech, Payments, Cryptocurrency, Assembly, Foundry, Huff & Yul, Blockchain, Ethereum, Hyperledger Fabric, Solidity, Smart Contracts, Python (Programming Language), C (Programming Language), Matlab, AutoCAD, SolidWorks, Microsoft Excel, C++",Bachelor of Technology - BTech,"Indian Institute of Technology (Indian School of Mines), Dhanbad","Blockchain Basics, Smart Contracts, Data Analysis with Python, What is Data Science? ",Bengaluru,Karnataka,India,blockchain_developers
Software Engineer,"OAYAW, Inc.",2.1,"LangSmith, Microsoft Azure, Amazon Web Services (AWS), Go (Programming Language), Neo4j, API Development, Python (Programming Language), MongoDB, LangChain, Containerization, Large Language Models (LLM), Skill Development, Back-End Web Development, Blockchain, Research and Development (R&D), Web3, Concurrent Programming, Git, Docker, GitHub, C++, CLI, MySQL, Programming Languages, Public Speaking, Starlark, JSON, Leadership, Management, Presentation Skills, Microsoft PowerPoint, Interpersonal Skills, Artificial Intelligence (AI), Machine Learning, Model Building, Pandas, Data Analysis, Database Management System (DBMS), Mobile Application Development, Core Java, Postman API, Spring Boot, Arduino, Internet of Things (IoT), Embedded C, Computer Science, Teamwork, Motivational Speaking, Communication",Bachelor of Engineering - BE,K.S School of Engineering and Management,Introduction to LangSmith,Bengaluru,Karnataka,India,blockchain_developers
Advisory Software Engineer,IBM,16.9,"SOAP, Technical Discussions, Overcome Obstacles, Swagger API, JSON, Design Patterns, TypeScript, NoSQL, JavaScript, Databases, Apache Kafka, Technical Design, Maven, Hibernate, Java Development, Back-End Web Development, Compensation, Integration, Cloud Computing, Software Development, Service-Oriented Architecture (SOA), Enterprise Software, Distributed Systems, Software as a Service (SaaS), Enterprise Architecture, Agile Methodologies, Java Enterprise Edition, PL/SQL, SDLC, Spring, Web Services, XML, JSP, Java, Requirements Analysis, SQL, Spring Boot, Microservices, Scrum, Database Development",,Maharshi Dayanand University,"shaping-up-with-angular-js, shaping-up-with-angular-js, shaping-up-with-angular-js",Bengaluru,Karnataka,India,blockchain_developers
Backend Engineer,ODX,6.6,"Scala, NoSQL, GraphQL, Web3, Ethereum, Smart Contracts, EVM, COSMOS, Google Cloud Platform (GCP), Continuous Integration (CI), Codecs, Peer-to-peer Computing, C (Programming Language), C++, HTML, Machine Learning, SQL, Data Structures, Go (Programming Language), Microservices, Continuous Integration and Continuous Delivery (CI/CD), Object-Relational Mapping (ORM), Github, Bitbucket, Amazon Web Services (AWS)",BTech - Bachelor of Technology,"National Institute of Technology , Patna","Android App Development, MTA: Database Fundamentals - Certified 2016",,Andhra Pradesh,India,blockchain_developers
blockchain Developer,Cloveode Technologies,,,,D.A.V,,Mandi,Himachal Pradesh,India,blockchain_developers
